"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
21530_3,204,"808U","",3,"","",""
21531_3,204,"809U","",3,"","",""
21532_3,204,"810U","",3,"","",""
21533_3,204,"814U","",3,"","",""
21534_3,204,"815U","",3,"","",""
21535_3,204,"816U","",3,"","",""
21536_3,204,"817U","",3,"","",""
21537_3,204,"818U","",3,"","",""
21538_3,204,"819U","",3,"","",""
21539_3,204,"820U","",3,"","",""
21540_3,204,"821U","",3,"","",""
21541_3,204,"822U","",3,"","",""
21542_3,204,"823U","",3,"","",""
21543_3,204,"824U","",3,"","",""
21544_3,204,"830U","",3,"","",""
21545_3,204,"831U","",3,"","",""
21546_3,204,"832U","",3,"","",""
21547_3,204,"833U","",3,"","",""
21548_3,204,"841U","",3,"","",""
21549_3,204,"860U","",3,"","",""
21550_3,204,"861U","",3,"","",""
21551_3,204,"863U","",3,"","",""
21552_3,204,"864U","",3,"","",""
21553_3,204,"865U","",3,"","",""
21554_3,204,"866U","",3,"","",""
21557_3,204,"930","",3,"","",""
21558_3,204,"932N","",3,"","",""
21581_3,204,"300","",3,"","",""
21582_3,204,"305","",3,"","",""
21583_3,204,"306","",3,"","",""
21584_3,204,"310","",3,"","",""
21585_3,204,"315","",3,"","",""
21586_3,204,"316","",3,"","",""
21587_3,204,"320","",3,"","",""
21588_3,204,"321","",3,"","",""
21589_3,204,"322","",3,"","",""
21590_3,204,"323","",3,"","",""
21591_3,204,"324","",3,"","",""
21592_3,204,"325","",3,"","",""
21593_3,204,"330","",3,"","",""
21594_3,204,"331","",3,"","",""
21595_3,204,"332","",3,"","",""
21596_3,204,"333","",3,"","",""
21597_3,204,"335","",3,"","",""
21598_3,204,"336","",3,"","",""
21599_3,204,"337","",3,"","",""
21600_3,204,"340","",3,"","",""
21601_3,204,"345","",3,"","",""
21602_3,204,"346","",3,"","",""
21603_3,204,"347","",3,"","",""
21604_3,204,"348","",3,"","",""
21605_3,204,"349","",3,"","",""
21606_3,204,"825U","",3,"","",""
21607_3,204,"826","",3,"","",""
21608_3,204,"826U","",3,"","",""
21609_3,204,"827U","",3,"","",""
21610_3,204,"851U","",3,"","",""
21611_3,204,"852U","",3,"","",""
21638_3,204,"275","",3,"","",""
21683_3,204,"825S","",3,"","",""
21693_3,204,"341","",3,"","",""
21694_3,204,"931E","",3,"","",""
21743_3,204,"814E","",3,"","",""
21793_3,204,"863E","",3,"","",""
21833_3,204,"151E","",3,"","",""
21834_3,204,"932E","",3,"","",""
22024_3,204,"558","",3,"","",""
22026_3,204,"828U","",3,"","",""
22038_3,204,"300E","",3,"","",""
22039_3,204,"305E","",3,"","",""
22040_3,204,"306E","",3,"","",""
22041_3,204,"310E","",3,"","",""
22042_3,204,"311","",3,"","",""
22043_3,204,"311E","",3,"","",""
22044_3,204,"315E","",3,"","",""
22045_3,204,"316E","",3,"","",""
22046_3,204,"320E","",3,"","",""
22047_3,204,"322E","",3,"","",""
22048_3,204,"323E","",3,"","",""
22049_3,204,"324E","",3,"","",""
22050_3,204,"325E","",3,"","",""
22051_3,204,"330E","",3,"","",""
22052_3,204,"331E","",3,"","",""
22053_3,204,"332E","",3,"","",""
22054_3,204,"335E","",3,"","",""
22055_3,204,"336E","",3,"","",""
22056_3,204,"337E","",3,"","",""
22057_3,204,"340E","",3,"","",""
22058_3,204,"341E","",3,"","",""
22059_3,204,"345E","",3,"","",""
22060_3,204,"346E","",3,"","",""
22061_3,204,"347E","",3,"","",""
22062_3,204,"348E","",3,"","",""
22063_3,204,"349E","",3,"","",""
22078_3,204,"260E","",3,"","",""
22079_3,204,"261E","",3,"","",""
22080_3,204,"262E","",3,"","",""
22081_3,204,"263E","",3,"","",""
22082_3,204,"264E","",3,"","",""
22083_3,204,"265E","",3,"","",""
22084_3,204,"266E","",3,"","",""
22085_3,204,"267E","",3,"","",""
22086_3,204,"430E","",3,"","",""
22087_3,204,"432E","",3,"","",""
22088_3,204,"433E","",3,"","",""
22089_3,204,"470E","",3,"","",""
22090_3,204,"471E","",3,"","",""
22091_3,204,"472E","",3,"","",""
22092_3,204,"691E","",3,"","",""
22094_3,204,"693E","",3,"","",""
22095_3,204,"751E","",3,"","",""
22096_3,204,"752E","",3,"","",""
22097_3,204,"753E","",3,"","",""
22178_3,204,"41E","",3,"","",""
22223_3,204,"10C","",3,"","",""
22224_3,204,"10H","",3,"","",""
22299_3,204,"241E","",3,"","",""
22343_3,204,"590E","",3,"","",""
22344_3,204,"591E","",3,"","",""
22345_3,204,"592E","",3,"","",""
22346_3,204,"621E","",3,"","",""
22347_3,204,"622E","",3,"","",""
22348_3,204,"623E","",3,"","",""
22808_3,204,"140L","",3,"","",""
22810_3,204,"150","",3,"","",""
22812_3,204,"150L","",3,"","",""
22813_3,204,"150N","",3,"","",""
22814_3,204,"150S","",3,"","",""
22815_3,204,"195L","",3,"","",""
22816_3,204,"215E","",3,"","",""
22817_3,204,"220E","",3,"","",""
22818_3,204,"221E","",3,"","",""
22819_3,204,"222E","",3,"","",""
22820_3,204,"223E","",3,"","",""
22821_3,204,"225E","",3,"","",""
22822_3,204,"226E","",3,"","",""
22823_3,204,"24","",3,"","",""
22824_3,204,"24E","",3,"","",""
22825_3,204,"30E","",3,"","",""
22826_3,204,"41S","",3,"","",""
22827_3,204,"59S","",3,"","",""
22828_3,204,"62","",3,"","",""
22829_3,204,"81E","",3,"","",""
23173_3,204,"132E","",3,"","",""
23174_3,204,"825E","",3,"","",""
23568_3,204,"715E","",3,"","",""
12618_4,276,,"Grenaa - Anholt",4,"","",""
12823_4,276,,"Hundested - Rørvig",4,"","",""
12824_4,276,,"Orø - Holbæk",4,"","",""
17118_4,320,,"Søby - Faaborg",4,"","",""
18518_4,320,,"Ærøskøbing - Svendborg",4,"","",""
18903_4,320,,"Søby - Fynshav",4,"","",""
19578_4,331,,"Thyborøn - Agger",4,"","",""
19728_4,276,,"Hvalpsund - Sundsøre",4,"","",""
20673_4,276,,"Sejerø - Havnsø",4,"","",""
20898_4,276,,"Fur - Branden",4,"","",""
20973_4,276,,"Aarø - Aarøsund",4,"","",""
20978_4,276,,"Orø - Hammer Bakke",4,"","",""
20983_4,276,,"Fejø - Kragenæs",4,"","",""
21019_4,276,,"Tunø - Hou",4,"","",""
21021_4,276,,"Ø-færgen",4,"","",""
21028_4,276,,"Egholm - Aalborg",4,"","",""
21029_4,276,,"Strynø - Rudkøbing",4,"","",""
21048_4,276,,"Femø - Kragenæs",4,"","",""
21049_4,276,,"Askø - Bandholm",4,"","",""
21050_4,276,,"Birkholm - Marstal",4,"","",""
21051_4,276,,"Baagø - Assens",4,"","",""
21063_4,276,,"Endelave - Snaptun",4,"","",""
21083_4,276,,"Barsøfærgen",4,"","",""
21148_4,276,,"Drejø - Skarø - Svendborg",4,"","",""
21173_4,276,,"Bjørnø - Faaborg",4,"","",""
21668_4,276,,"Hou - Sælvig",4,"","",""
23293_4,276,,"Nekselø - Havnsø",4,"","",""
17848_3,281,"1","",3,"","",""
17849_3,281,"1","",3,"","",""
17850_3,281,"1","",3,"","",""
17851_3,281,"1","",3,"","",""
17852_3,281,"1","",3,"","",""
17853_3,281,"1","",3,"","",""
17855_3,281,"1","",3,"","",""
17858_3,281,"10","",3,"","",""
17859_3,281,"10","",3,"","",""
17864_3,281,"103","",3,"","",""
17865_3,281,"104","",3,"","",""
17866_3,281,"105","",3,"","",""
17867_3,281,"106","",3,"","",""
17868_3,281,"107","",3,"","",""
17871_3,281,"11","",3,"","",""
17872_3,281,"11","",3,"","",""
17874_3,281,"11","",3,"","",""
17875_3,281,"11","",3,"","",""
17877_3,281,"110","",3,"","",""
17878_3,281,"111","",3,"","",""
17879_3,281,"112","",3,"","",""
17880_3,281,"112","",3,"","",""
17881_3,281,"113","",3,"","",""
17882_3,281,"114","",3,"","",""
17883_3,281,"114","",3,"","",""
17884_3,281,"115","",3,"","",""
17885_3,281,"116","",3,"","",""
17886_3,281,"116","",3,"","",""
17888_3,281,"117","",3,"","",""
17889_3,281,"118","",3,"","",""
17893_3,281,"12","",3,"","",""
17894_3,281,"12","",3,"","",""
17895_3,281,"12","",3,"","",""
17896_3,281,"12","",3,"","",""
17898_3,281,"120","",3,"","",""
17899_3,281,"121","",3,"","",""
17900_3,281,"122","",3,"","",""
17901_3,281,"123","",3,"","",""
